candidate,sentiment,sentiment_confidence,subject_matter,retweet_count,text
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,2,RT @1catherinesiena: @glennbeck @PatandStu @FoxNews WAS THE WORST! I didn't appreciate the theatrics - that's all they were about! #GOPDeba…
No candidate mentioned,Negative,0.6774,None of the above,28,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
Donald Trump,Positive,0.3412,None of the above,0,@slone @realDonaldTrump We're watching their plans unfold- psych. warfare - pure &amp; simple. Games. #gopdebates
No candidate mentioned,Negative,0.6888,None of the above,28,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
Donald Trump,Positive,0.6194,FOX News or Moderators,72,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
Donald Trump,Negative,0.658,FOX News or Moderators,0,@MegynKelly made me warm toward Trump. I can't believe it. I am rooting for him in spite of myself. That was no debate. #PoorJob #GOPDebates
No candidate mentioned,Negative,0.6812,None of the above,28,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
Ben Carson,Positive,0.6517,FOX News or Moderators,1,"RT @MichiganForBen: @FoxNews says @RealBenCarson topped candidates in new Twitter followers after #GOPDebates. 24000 vs. 2nd place, 11000 @…"
No candidate mentioned,Negative,0.6383,FOX News or Moderators,116,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
Ted Cruz,Positive,0.6815,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,0.6667,None of the above,28,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
No candidate mentioned,Negative,0.6705,None of the above,28,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
No candidate mentioned,Negative,0.6421,None of the above,28,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
No candidate mentioned,Negative,0.6914,None of the above,21,"RT @jordular: Wham, Bam, Thank You, Ann! How the participants of the #GOPDebates should be seen. #truthbomb http://t.co/sosrcPfVSJ"
Ted Cruz,Positive,0.6667,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,2,RT @1catherinesiena: @glennbeck @PatandStu @FoxNews WAS THE WORST! I didn't appreciate the theatrics - that's all they were about! #GOPDeba…
No candidate mentioned,Negative,1,None of the above,28,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
No candidate mentioned,Negative,0.3106,None of the above,28,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
Donald Trump,Negative,1,None of the above,1,"RT @FreedomJames7: Trump Supporters Are Rude 😡
#GOPDebates"
Ted Cruz,Positive,0.6848,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,2,@glennbeck @PatandStu @FoxNews WAS THE WORST! I didn't appreciate the theatrics - that's all they were about! #GOPDebates
No candidate mentioned,Negative,1,None of the above,28,A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,0.3617,FOX News or Moderators,3,"RT @NYCdeb8tr: @redsteeze @dalestokely Megyn Kelly was so over the top, I thought she would announce her candidacy last night. #GOPDebates"
Ben Carson,Negative,0.3514,FOX News or Moderators,1,"@FoxNews says @RealBenCarson topped candidates in new Twitter followers after #GOPDebates. 24000 vs. 2nd place, 11000 @marcorubio Congrats!"
Ted Cruz,Positive,0.6667,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Positive,1,None of the above,0,"Opening, closing, &amp; occasionally canned statements aside, the #GOPDebates were legitimately entertaining and exciting. @LOLGOP @misl4fun 4/4"
No candidate mentioned,Positive,1,FOX News or Moderators,1,"never thought I'd say this but goddamnit I am. Yo, @MegynKelly, Chris Wallace, @BretBaier... Great job hosting the #GOPDebates last night."
No candidate mentioned,Positive,0.6628,None of the above,0,"Good debates, including the #GOPDebates challenge candidates to say what they mean, both on purpose or on accident and last night did that."
No candidate mentioned,Negative,0.3448,None of the above,0,"showed serious differences in approaches to the world &amp; problems within the GOP, and more importantly, the #GOPDebates showed off the crazy."
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Positive,1,None of the above,0,"I had high expectations for last night's #GOPDebates and boy @misl4fun were they met. They were combative, spontaneous (mostly),"
Donald Trump,Negative,0.6552,Women's Issues (not abortion though),19,RT @BettyFckinWhite: So Donald Trump is Biff from Back to the Future 2? #GOPDebates #womensrights  #combover http://t.co/IS9GYB7P31
Ted Cruz,Positive,0.6562,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,0.663,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,0.6629,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,Women's Issues (not abortion though),15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
No candidate mentioned,Negative,1,Women's Issues (not abortion though),9,"RT @monaeltahawy: #GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/L…"
Ted Cruz,Positive,0.6675,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Positive,0.6737,FOX News or Moderators,3,"RT @NYCdeb8tr: @redsteeze @dalestokely Megyn Kelly was so over the top, I thought she would announce her candidacy last night. #GOPDebates"
Ted Cruz,Positive,0.6742,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,3,"@redsteeze @dalestokely Megyn Kelly was so over the top, I thought she would announce her candidacy last night. #GOPDebates"
No candidate mentioned,Negative,1,Women's Issues (not abortion though),9,"RT @monaeltahawy: #GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/L…"
Donald Trump,Positive,0.3643,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
No candidate mentioned,Positive,0.3579,None of the above,0,@pondering_this @CarlyFiorina I had &amp; was very impressed w/her last pm. She took the entire night! Both #GOPDebates!
No candidate mentioned,Negative,0.6366,Women's Issues (not abortion though),15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
Chris Christie,Negative,1,Foreign Policy,48,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
No candidate mentioned,Negative,0.6559,FOX News or Moderators,142,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
No candidate mentioned,Negative,0.6629,FOX News or Moderators,116,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,Women's Issues (not abortion though),15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
No candidate mentioned,Negative,1,Women's Issues (not abortion though),15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
Donald Trump,Negative,0.6425,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
Chris Christie,Negative,1,None of the above,42,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates
Ted Cruz,Positive,0.6686,None of the above,0,"#BestDebateQuotes ""First thing I will do as president is rescind all of Obama's executive orders."" #TedCruz2016 #GOPDebates"
Donald Trump,Negative,1,None of the above,0,All I need to know @FrankLuntz &lt;&lt; you're the loser -&amp; BTW red hair does NOT become you! @realDonaldTrump #GOPDebates http://t.co/RDTFPfiRx7
Donald Trump,Positive,0.6336,FOX News or Moderators,93,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates"
No candidate mentioned,Positive,1,None of the above,0,Biggest #PowerMove I made last night was staying off social media. I feel much smarter and happier this morning #GOPdebates
Donald Trump,Negative,0.3579,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
No candidate mentioned,Negative,0.6813,Women's Issues (not abortion though),15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
Chris Christie,Negative,1,None of the above,48,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,FOX News or Moderators,116,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
No candidate mentioned,Negative,0.6628,None of the above,43,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates
Donald Trump,Negative,1,None of the above,0,There was a lot of inane garbage that went down @ #GOPdebates w/Trump as target. But when they hit issues it was interesting.
No candidate mentioned,Negative,0.666,Abortion,15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,Women's Issues (not abortion though),15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
No candidate mentioned,Negative,1,FOX News or Moderators,142,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
No candidate mentioned,Negative,1,Women's Issues (not abortion though),15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
No candidate mentioned,Negative,0.6638,None of the above,5,RT @Izac_Wright: THIS HAPPENED: Not a single mention of #votingrights on #VRA50 in tonight’s #GOPdebates
No candidate mentioned,Negative,0.7011,Women's Issues (not abortion though),15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
No candidate mentioned,Negative,0.6703,Women's Issues (not abortion though),9,"RT @monaeltahawy: #GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/L…"
No candidate mentioned,Negative,1,Abortion,15,"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"
Donald Trump,Positive,1,Immigration,105,"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates"
Ted Cruz,Positive,0.6629,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Positive,0.6624,Foreign Policy,23,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates"
No candidate mentioned,Negative,1,Women's Issues (not abortion though),15,"Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I invented it :-) )"
Ted Cruz,Positive,0.6932,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,None of the above,9,"RT @monaeltahawy: #GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/L…"
Donald Trump,Positive,0.6313,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
Ben Carson,Negative,0.3415,None of the above,1,RT @olakunlesoriyan: FREEDOM is NOT FREE...and we MUST FIGHT for it EVERYDAY--@RealBenCarson  #GOPDebates #AfroWays #RandomThoughts #Soriya…
No candidate mentioned,Negative,0.6643,None of the above,50,RT @mozgovaya: 10 men on stage discussing one woman. @HillaryClinton #GOPdebates
No candidate mentioned,Negative,1,Women's Issues (not abortion though),9,"RT @monaeltahawy: #GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/L…"
No candidate mentioned,Negative,1,None of the above,9,"RT @monaeltahawy: #GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/L…"
Donald Trump,Negative,1,Women's Issues (not abortion though),9,"#GOPDebates misogyny no surprise considering 10 men on a stage, pontificating about our bodies #WhereRWomen http://t.co/Ldg62Y65S5"
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,0.6484,None of the above,19,"RT @BettyFckinWhite: So many great jokes on Twitter tonight about the #GOPDebates, but not as many as there were on stage."
Donald Trump,Positive,0.3516,None of the above,2,RT @louvice: Donald Will Go Independent! RubioNever Shows up 4 Work! #GopDebates
Donald Trump,Negative,0.3474,None of the above,19,RT @BettyFckinWhite: So Donald Trump is Biff from Back to the Future 2? #GOPDebates #womensrights  #combover http://t.co/IS9GYB7P31
Donald Trump,Negative,0.6984,FOX News or Moderators,1,"The @realDonaldTrump should have asked @megynkelly ""ask these 9 candidates if THEY would support ME when I win the nomination"" #GOPdebates"
Ted Cruz,Positive,1,None of the above,65,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
No candidate mentioned,Negative,0.6774,Foreign Policy,23,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates"
No candidate mentioned,Negative,1,None of the above,0,Winner Of Both #GOPDebates PolitiFact - Pants On Fire - False - Mostly False - Half True
Mike Huckabee,Negative,1,Foreign Policy,66,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Jeb Bush,Negative,0.6663,None of the above,1,RT @SeeThroughFruit: Jeb Bush more like please just stop #GOPDebates
Ted Cruz,Positive,1,None of the above,65,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
No candidate mentioned,Negative,0.3458,None of the above,1,RT @Joy__Hart: The morning Joe crowd is giving Fiorina a false sense of intelligence. She is Sarah Palin with lighter hair #gopdebates
Ted Cruz,Positive,1,None of the above,65,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
Donald Trump,Negative,0.6903,Racial issues,1,RT @Swoldemort: Was anyone else expecting Trump to say something super racist when he mentioned China and Japan? #GOPDebates
No candidate mentioned,Negative,0.6517,None of the above,1,The morning Joe crowd is giving Fiorina a false sense of intelligence. She is Sarah Palin with lighter hair #gopdebates
Donald Trump,Negative,0.6531,None of the above,0,Using Trump to troll liberals may be my new favorite thing!!!! #GOPDebates
No candidate mentioned,Positive,0.6556,None of the above,11,RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
No candidate mentioned,Negative,0.6556,FOX News or Moderators,0,Any SANE person was impressed w/the Quality of the Moderators at #GOPDebates. But Agenda Driven Haters gotta HATE.  https://t.co/3dc47McBht
No candidate mentioned,Negative,0.684,FOX News or Moderators,116,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
Ted Cruz,Positive,0.661,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,None of the above,19,"RT @BettyFckinWhite: So many great jokes on Twitter tonight about the #GOPDebates, but not as many as there were on stage."
No candidate mentioned,Positive,0.6667,Foreign Policy,23,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates"
No candidate mentioned,Positive,0.6917,None of the above,0,@kimguilfoyle I'm getting Fiorina yard signs! #GOPDebates
No candidate mentioned,Negative,0.3516,Foreign Policy,23,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates"
No candidate mentioned,Negative,0.686,None of the above,1,Two great political comedy acts in one night - the last of #JonStewart and the #GOPDebates #tears
Donald Trump,Negative,1,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
No candidate mentioned,Negative,0.6717,FOX News or Moderators,116,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
No candidate mentioned,Positive,0.6409,None of the above,11,RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
Jeb Bush,Negative,0.352,None of the above,3,RT @jaret2113: Jeb could whoop Trumps ass in corn hole. #gopdebates
Jeb Bush,Negative,1,None of the above,4,RT @jaret2113: I'll bet George W. can drink Jeb under the table...like embarrassingly!!!!! #gopdebates
Rand Paul,Negative,0.6593,None of the above,5,RT @jaret2113: Rand Paul - this is what Justin Timberlake will look like in 10 years. #gopdebates
Donald Trump,Negative,1,FOX News or Moderators,0,@foxandfriends @megynkelly made @CandyCrowley look professional with her vicious attacks on @realDonaldTrump. So biased! #GOPDebates
Jeb Bush,Negative,0.6531,None of the above,172,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Donald Trump,Negative,0.6526,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
Donald Trump,Positive,0.6842,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
No candidate mentioned,Negative,0.6701,FOX News or Moderators,1,RT @TenSecondCynic: Fox News didn't ask one of the #GOPDebates candidates what they planned to do about Mall Walkers.
Ted Cruz,Positive,0.6778,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,None of the above,2,@marilynarndt @princeofbordue1 I think @megynkelly was vicious and very unprofessional last night. She lost me also. #GOPDebates #PJNET
No candidate mentioned,Negative,1,FOX News or Moderators,142,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
Ted Cruz,Positive,0.6531,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
John Kasich,Positive,0.6789,None of the above,0,@kimguilfoyle #GOPDebates #RoadTo2016 Kasich showed well .. But frankly too many folks up there to truly 'learn' who&amp;what they were about
Scott Walker,Positive,0.675,None of the above,0,@kimguilfoyle #GOPDebates  Walker. Christie and Trump
Donald Trump,Positive,0.6898,None of the above,72,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
Donald Trump,Positive,0.6735,FOX News or Moderators,0,#RNC needs those #Trump2016 voters to win gen elect- without them hiliary is next pres. #GOPDebates #FoxNews. Be Fair-bench MW &amp; @megynkelly
Donald Trump,Positive,1,None of the above,1,RT @kwrcrow: Congrats to @realDonaldTrump for your win in #GOPDebates polling last night. @Time @DRUDGE_REPORT Well done Sir! http://t.co/n…
No candidate mentioned,Positive,0.6737,None of the above,11,RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
Donald Trump,Positive,1,None of the above,0,"""@kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016""TRUMP baby!"
Donald Trump,Positive,0.6735,None of the above,1,Congrats to @realDonaldTrump for your win in #GOPDebates polling last night. @Time @DRUDGE_REPORT Well done Sir! http://t.co/nDu4EO1VRX
No candidate mentioned,Positive,0.659,None of the above,11,RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
Ted Cruz,Positive,0.6739,None of the above,0,Ted Cruz and Carly RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
No candidate mentioned,Positive,1,None of the above,11,RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Positive,1,None of the above,11,Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016
Ted Cruz,Positive,0.6364,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Donald Trump,Negative,0.3571,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
Donald Trump,Positive,0.3297,FOX News or Moderators,12,RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Donald Trump,Negative,0.6548,FOX News or Moderators,12,When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/oeilPvkKbE
No candidate mentioned,Negative,1,FOX News or Moderators,116,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
No candidate mentioned,Negative,0.3404,None of the above,0,#GOPDebates was the bachelor on foxtv.last night
Chris Christie,Negative,0.6947,None of the above,48,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
Chris Christie,Negative,1,Foreign Policy,48,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
No candidate mentioned,Negative,0.7093,FOX News or Moderators,0,The #GOPDebates Showed How @FoxNews Enforces #Republican Orthodoxy http://t.co/IHNwy8DgCm via @HuffPostPol #rhetoric #politics #journalusm
Ben Carson,Negative,1,None of the above,1,RT @HellyerE: @IngrahamAngle @niceninja @RealBenCarson Iol noticed in neither #GOPDebates~ not one person jumped up &amp; yelled #YOULIE Juxtap…
Ben Carson,Positive,0.7089,None of the above,1,@IngrahamAngle @niceninja @RealBenCarson Iol noticed in neither #GOPDebates~ not one person jumped up &amp; yelled #YOULIE Juxtapose DemocRats
Ted Cruz,Positive,0.6742,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Donald Trump,Negative,0.6705,FOX News or Moderators,72,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
No candidate mentioned,Negative,0.6493,FOX News or Moderators,142,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
Ted Cruz,Positive,0.3785,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,None of the above,4,"RT @LemonMeringue19: Intelligence, class and charm are no longer requirements for the presidency, I guess. #GOPDebates"
Ted Cruz,Positive,0.6667,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,0.6632,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,0.6596,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
No candidate mentioned,Negative,1,FOX News or Moderators,142,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
No candidate mentioned,Negative,0.686,None of the above,2,RT @diegueno: what working people missed in the #GOPdebates last night http://t.co/v0KyvZoPRu
Ben Carson,Positive,0.6484,None of the above,8,"RT @KentPavelka: Three best performance in the #GOPDebates (in no order), IMHO:  Carly Fiorina &amp; Ben Carson &amp; Marco Rubio."
Ted Cruz,Positive,0.6813,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,0.6813,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Ted Cruz,Positive,0.6488,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Donald Trump,Negative,1,None of the above,8,"RT @SupermanHotMale: You liar, Trump, You came out against the war in Iraq because your other businesses went belly up #GopDebates"
Ted Cruz,Positive,0.6731,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Donald Trump,Negative,0.6934,None of the above,19,RT @BettyFckinWhite: So Donald Trump is Biff from Back to the Future 2? #GOPDebates #womensrights  #combover http://t.co/IS9GYB7P31
Ted Cruz,Positive,1,None of the above,67,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates"
Chris Christie,Negative,1,Foreign Policy,48,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
No candidate mentioned,Negative,0.6667,None of the above,43,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates
